Month,Official MAPE (%),ESN MAPE (%),Improvement (%)
1,0.7945571221000205,0.6914090704044338,12.981829603762865
2,0.829667828137211,0.7556158154524459,8.925501287789873
3,1.3898342180043284,0.8004740270195477,42.40507129195931
4,1.4207246540617398,0.868327634000287,38.88135667120249
5,1.9786060322086125,0.9797144008135812,50.484614679963435
6,1.178765752383738,1.0230340813049739,13.211418024644725
7,1.0677163776181287,0.9296980008723973,12.926501797567628
8,1.151592419618616,0.9225960364128668,19.885193693927594
9,1.1256136524037932,0.9317732480591263,17.22086471949882
10,1.229954561191993,0.9110210657819168,25.93051040039938
11,0.9786650718612826,0.7623294604577336,22.105173426911946
12,1.0098577328286995,0.7612091358251996,24.62214121062514
